indice_tiempo,biodisel_produccion
2008-01-01,47251
2008-02-01,38747
2008-03-01,42095
2008-04-01,43881
2008-05-01,51679
2008-06-01,50726
2008-07-01,71888
2008-08-01,91595
2008-09-01,83924
2008-10-01,97429
2008-11-01,79530
2008-12-01,13119
2009-01-01,18355
2009-02-01,47673
2009-03-01,76655
2009-04-01,80577
2009-05-01,90288
2009-06-01,103000
2009-07-01,125872
2009-08-01,123928
2009-09-01,137501
2009-10-01,130614
2009-11-01,131458
2009-12-01,113182
2010-01-01,140247
2010-02-01,112508
2010-03-01,107929
2010-04-01,141733
2010-05-01,159105
2010-06-01,160019
2010-07-01,165098
2010-08-01,164382
2010-09-01,157835
2010-10-01,180593
2010-11-01,177578
2010-12-01,153358
2011-01-01,151848
2011-02-01,140363
2011-03-01,187813
2011-04-01,201369
2011-05-01,219703
2011-06-01,210080
2011-07-01,222315
2011-08-01,223808
2011-09-01,208434
2011-10-01,234989
2011-11-01,209900
2011-12-01,219342
2012-01-01,257933
2012-02-01,240003
2012-03-01,212499
2012-04-01,236400
2012-05-01,238838
2012-06-01,231039
2012-07-01,246371
2012-08-01,233859
2012-09-01,133081
2012-10-01,138008
2012-11-01,153248
2012-12-01,135299
2013-01-01,158499
2013-02-01,113745
2013-03-01,117664
2013-04-01,160321
2013-05-01,120693
2013-06-01,144813
2013-07-01,190969
2013-08-01,193324
2013-09-01,224570
2013-10-01,245438
2013-11-01,218046
2013-12-01,109727
2014-01-01,140472
2014-02-01,132589
2014-03-01,121194
2014-04-01,142470
2014-05-01,229302
2014-06-01,250044
2014-07-01,275067
2014-08-01,278323
2014-09-01,295401
2014-10-01,308897
2014-11-01,243455
2014-12-01,167076
2015-01-01,134435
2015-02-01,99065
2015-03-01,96673
2015-04-01,128439
2015-05-01,131226
2015-06-01,190445
2015-07-01,176765
2015-08-01,208493
2015-09-01,182871
2015-10-01,199680
2015-11-01,182761
2015-12-01,79804
2016-01-01,102682
2016-02-01,151101
2016-03-01,146050
2016-04-01,191408
2016-05-01,251535
2016-06-01,261774
2016-07-01,248648
2016-08-01,285386
2016-09-01,292540
2016-10-01,294168.1
2016-11-01,280907.8
2016-12-01,153075.55
2017-01-01,189763.36999999997
2017-02-01,162199.72000000003
2017-03-01,172221.30000000005
2017-04-01,249430.87
2017-05-01,296823.87999999995
2017-06-01,282713.99999999994
2017-07-01,272984.60000000003
2017-08-01,169883.49000000005
2017-09-01,213971.21000000002
2017-10-01,293096.32
2017-11-01,302618.48000000004
2017-12-01,265727.76
2018-01-01,244128.15999999997
2018-02-01,157007.22
2018-03-01,177938.87999999995
2018-04-01,226424.78
2018-05-01,290434.69000000006
2018-06-01,265426.92
2018-07-01,260050.77
2018-08-01,134849.91
2018-09-01,174085
2018-10-01,132450.22000000003
2018-11-01,259636.46000000005
