indice_tiempo,produccion_automotriz_unidades,,,,,
01/01/1981,73912,,,,,
01/02/1981,74442,,,,,
01/03/1981,60891,,,,,
01/04/1981,48078,,,,,
01/05/1981,62001,,,,,
01/06/1981,58377,,,,,
01/07/1981,48433,,,,,
01/08/1981,49965,,,,,
01/09/1981,51835,,,,,
01/10/1981,59955,,,,,
01/11/1981,56165,,,,,
01/12/1981,49362,,,,,
01/01/1982,54233,,,,,
01/02/1982,53462,,,,,
01/03/1982,68313,,,,,
01/04/1982,64208,,,,,
01/05/1982,60320,,,,,
01/06/1982,66774,,,,,
01/07/1982,64169,,,,,
01/08/1982,70048,,,,,
01/09/1982,66974,,,,,
01/10/1982,78031,,,,,
01/11/1982,78247,,,,,
01/12/1982,71680,,,,,
01/01/1983,68584,,,,,
01/02/1983,61757,,,,,
01/03/1983,79950,,,,,
01/04/1983,69893,,,,,
01/05/1983,84430,,,,,
01/06/1983,72492,,,,,
01/07/1983,53832,,,,,
01/08/1983,72434,,,,,
01/09/1983,69215,,,,,
01/10/1983,63619,,,,,
01/11/1983,66435,,,,,
01/12/1983,67428,,,,,
01/01/1984,58333,,,,,
01/02/1984,67809,,,,,
01/03/1984,64201,,,,,
01/04/1984,50995,,,,,
01/05/1984,72732,,,,,
01/06/1984,63657,,,,,
01/07/1984,63500,,,,,
01/08/1984,75684,,,,,
01/09/1984,57266,,,,,
01/10/1984,69102,,,,,
01/11/1984,77021,,,,,
01/12/1984,54408,,,,,
01/01/1985,72183,,,,,
01/02/1985,65399,,,,,
01/03/1985,77484,,,,,
01/04/1985,32832,,,,,
01/05/1985,42645,,,,,
01/06/1985,62979,,,,,
01/07/1985,90383,,,,,
01/08/1985,85270,,,,,
01/09/1985,88741,,,,,
01/10/1985,103283,,,,,
01/11/1985,91201,,,,,
01/12/1985,67036,,,,,
01/01/1986,75182,,,,,
01/02/1986,79998,,,,,
01/03/1986,89432,,,,,
01/04/1986,93327,,,,,
01/05/1986,94469,,,,,
01/06/1986,85135,,,,,
01/07/1986,80175,,,,,
01/08/1986,75517,,,,,
01/09/1986,90599,,,,,
01/10/1986,84806,,,,,
01/11/1986,60076,,,,,
01/12/1986,56567,,,,,
01/01/1987,66387,,,,,
01/02/1987,59853,,,,,
01/03/1987,59867,,,,,
01/04/1987,74637,,,,,
01/05/1987,75475,,,,,
01/06/1987,76050,,,,,
01/07/1987,70739,,,,,
01/08/1987,67544,,,,,
01/09/1987,64709,,,,,
01/10/1987,66510,,,,,
01/11/1987,72339,,,,,
01/12/1987,69424,,,,,
01/01/1988,66311,,,,,
01/02/1988,75854,,,,,
01/03/1988,86147,,,,,
01/04/1988,74140,,,,,
01/05/1988,77983,,,,,
01/06/1988,87125,,,,,
01/07/1988,78934,,,,,
01/08/1988,95798,,,,,
01/09/1988,79488,,,,,
01/10/1988,82797,,,,,
01/11/1988,83582,,,,,
01/12/1988,78723,,,,,
01/01/1989,82931,,,,,
01/02/1989,73601,,,,,
01/03/1989,71318,,,,,
01/04/1989,64308,,,,,
01/05/1989,65690,,,,,
01/06/1989,95326,,,,,
01/07/1989,87532,,,,,
01/08/1989,99846,,,,,
01/09/1989,83589,,,,,
01/10/1989,77925,,,,,
01/11/1989,67035,,,,,
01/12/1989,86432,,,,,
01/01/1990,81479,,,,,
01/02/1990,68409,,,,,
01/03/1990,61505,,,,,
01/04/1990,29035,,,,,
01/05/1990,78868,,,,,
01/06/1990,44278,,,,,
01/07/1990,51830,,,,,
01/08/1990,97450,,,,,
01/09/1990,78913,,,,,
01/10/1990,87506,,,,,
01/11/1990,89086,,,,,
01/12/1990,75070,,,,,
01/01/1991,66239,,,,,
01/02/1991,50568,,,,,
01/03/1991,60514,,,,,
01/04/1991,40666,,,,,
01/05/1991,66477,,,,,
01/06/1991,78605,,,,,
01/07/1991,91767,,,,,
01/08/1991,86694,,,,,
01/09/1991,80575,,,,,
01/10/1991,90425,,,,,
01/11/1991,81798,,,,,
01/12/1991,66841,,,,,
01/01/1992,63613,,,,,
01/02/1992,74082,,,,,
01/03/1992,53796,,,,,
01/04/1992,59859,,,,,
01/05/1992,73710,,,,,
01/06/1992,82638,,,,,
01/07/1992,87933,,,,,
01/08/1992,83652,,,,,
01/09/1992,82328,,,,,
01/10/1992,90902,,,,,
01/11/1992,87548,,,,,
01/12/1992,64977,,,,,
01/01/1993,66168,,,,,
01/02/1993,73042,,,,,
01/03/1993,98691,,,,,
01/04/1993,88839,,,,,
01/05/1993,101055,,,,,
01/06/1993,102512,,,,,
01/07/1993,104493,,,,,
01/08/1993,115800,,,,,
01/09/1993,106990,,,,,
01/10/1993,109989,,,,,
01/11/1993,111043,,,,,
01/12/1993,94678,,,,,
01/01/1994,93357,,,,,
01/02/1994,95060,,,,,
01/03/1994,122600,,,,,
01/04/1994,94820,,,,,
01/05/1994,119441,,,,,
01/06/1994,109101,,,,,
01/07/1994,114188,,,,,
01/08/1994,127038,,,,,
01/09/1994,103372,,,,,
01/10/1994,108978,,,,,
01/11/1994,124173,,,,,
01/12/1994,109563,,,,,
01/01/1995,78192,,,,,
01/02/1995,110168,,,,,
01/03/1995,131859,,,,,
01/04/1995,117064,,,,,
01/05/1995,136548,,,,,
01/06/1995,153241,,,,,
01/07/1995,106135,,,,,
01/08/1995,140683,,,,,
01/09/1995,119247,,,,,
01/10/1995,134566,,,,,
01/11/1995,129650,,,,,
01/12/1995,102323,,,,,
01/01/1996,100946,,,,,
01/02/1996,121248,,,,,
01/03/1996,136019,,,,,
01/04/1996,130698,,,,,
01/05/1996,142309,,,,,
01/06/1996,121143,,,,,
01/07/1996,153931,,,,,
01/08/1996,161906,,,,,
01/09/1996,146060,,,,,
01/10/1996,148219,,,,,
01/11/1996,141674,,,,,
01/12/1996,118982,,,,,
01/01/1997,124889,,,,,
01/02/1997,136323,,,,,
01/03/1997,153164,,,,,
01/04/1997,172391,,,,,
01/05/1997,162310,,,,,
01/06/1997,170685,,,,,
01/07/1997,160400,,,,,
01/08/1997,173863,,,,,
01/09/1997,182952,,,,,
01/10/1997,192829,,,,,
01/11/1997,130140,,,,,
01/12/1997,101255,,,,,
01/01/1998,110243,,,,,
01/02/1998,105964,,,,,
01/03/1998,141749,,,,,
01/04/1998,137785,,,,,
01/05/1998,160231,,,,,
01/06/1998,146151,,,,,
01/07/1998,126825,,,,,
01/08/1998,134224,,,,,
01/09/1998,134540,,,,,
01/10/1998,92855,,,,,
01/11/1998,79643,,,,,
01/12/1998,59650,,,,,
01/01/1999,81902,,,,,
01/02/1999,78103,,,,,
01/03/1999,114873,,,,,
01/04/1999,109148,,,,,
01/05/1999,114047,,,,,
01/06/1999,116990,,,,,
01/07/1999,115312,,,,,
01/08/1999,129287,,,,,
01/09/1999,130444,,,,,
01/10/1999,109990,,,,,
01/11/1999,108670,,,,,
01/12/1999,81211,,,,,
01/01/2000,92704,,,,,
01/02/2000,126595,,,,,
01/03/2000,130730,,,,,
01/04/2000,129116,,,,,
01/05/2000,144738,,,,,
01/06/2000,145172,,,,,
01/07/2000,141751,,,,,
01/08/2000,161503,,,,,
01/09/2000,141474,,,,,
01/10/2000,140295,,,,,
01/11/2000,128920,,,,,
01/12/2000,122850,,,,,
01/01/2001,116359,,,,,
01/02/2001,135125,,,,,
01/03/2001,172563,,,,,
01/04/2001,159963,,,,,
01/05/2001,181201,,,,,
01/06/2001,153120,,,,,
01/07/2001,142411,,,,,
01/08/2001,139972,,,,,
01/09/2001,127346,,,,,
01/10/2001,117198,,,,,
01/11/2001,124740,,,,,
01/12/2001,104524,,,,,
01/01/2002,116830,,,,,
01/02/2002,116000,,,,,
01/03/2002,143887,,,,,
01/04/2002,152334,,,,,
01/05/2002,144526,,,,,
01/06/2002,130458,,,,,
01/07/2002,133240,,,,,
01/08/2002,127173,,,,,
01/09/2002,140896,,,,,
01/10/2002,157227,,,,,
01/11/2002,148960,,,,,
01/12/2002,122259,,,,,
01/01/2003,132208,,,,,
01/02/2003,141129,,,,,
01/03/2003,127486,,,,,
01/04/2003,130783,,,,,
01/05/2003,141857,,,,,
01/06/2003,124511,,,,,
01/07/2003,130930,,,,,
01/08/2003,130353,,,,,
01/09/2003,155901,,,,,
01/10/2003,161223,,,,,
01/11/2003,161528,,,,,
01/12/2003,146806,,,,,
01/01/2004,150001,,,,,
01/02/2004,148766,,,,,
01/03/2004,185509,,,,,
01/04/2004,163375,,,,,
01/05/2004,172380,,,,,
01/06/2004,179685,,,,,
01/07/2004,179895,,,,,
01/08/2004,192904,,,,,
01/09/2004,194735,,,,,
01/10/2004,182581,,,,,
01/11/2004,193820,,,,,
01/12/2004,180526,,,,,
01/01/2005,155533,,,,,
01/02/2005,176760,,,,,
01/03/2005,211944,,,,,
01/04/2005,197607,,,,,
01/05/2005,207369,,,,,
01/06/2005,213767,,,,,
01/07/2005,199959,,,,,
01/08/2005,210961,,,,,
01/09/2005,198855,,,,,
01/10/2005,182962,,,,,
01/11/2005,206894,,,,,
01/12/2005,194561,,,,,
01/01/2006,183640,,,,,
01/02/2006,190099,,,,,
01/03/2006,212794,,,,,
01/04/2006,184761,,,,,
01/05/2006,219343,,,,,
01/06/2006,205415,,,,,
01/07/2006,202943,,,,,
01/08/2006,221843,,,,,
01/09/2006,188600,,,,,
01/10/2006,207656,,,,,
01/11/2006,208897,,,,,
01/12/2006,177689,,,,,
01/01/2007,190778,,,,,
01/02/2007,190518,,,,,
01/03/2007,234951,,,,,
01/04/2007,212376,,,,,
01/05/2007,241844,,,,,
01/06/2007,232836,,,,,
01/07/2007,253138,,,,,
01/08/2007,263924,,,,,
01/09/2007,241700,,,,,
01/10/2007,283405,,,,,
01/11/2007,262729,,,,,
01/12/2007,217025,,,,,
01/01/2008,242456,,,,,
01/02/2008,239214,,,,,
01/03/2008,268285,,,,,
01/04/2008,283294,,,,,
01/05/2008,274542,,,,,
01/06/2008,292422,,,,,
01/07/2008,305384,,,,,
01/08/2008,299556,,,,,
01/09/2008,286610,,,,,
01/10/2008,280178,,,,,
01/11/2008,187374,,,,,
01/12/2008,91314,,,,,
01/01/2009,180242,,,,,
01/02/2009,196546,,,,,
01/03/2009,266162,,,,,
01/04/2009,244700,,,,,
01/05/2009,262452,,,,,
01/06/2009,276445,,,,,
01/07/2009,271385,,,,,
01/08/2009,284904,,,,,
01/09/2009,263767,,,,,
01/10/2009,306291,,,,,
01/11/2009,282512,,,,,
01/12/2009,240594,,,,,
01/01/2010,233395,,,,,
01/02/2010,236614,,,,,
01/03/2010,318011,,,,,
01/04/2010,274873,,,,,
01/05/2010,297374,,,,,
01/06/2010,283997,,,,,
01/07/2010,290756,,,,,
01/08/2010,308387,,,,,
01/09/2010,278441,,,,,
01/10/2010,293567,,,,,
01/11/2010,301940,,,,,
01/12/2010,264780,,,,,
01/01/2011,239301,,,,,
01/02/2011,295946,,,,,
01/03/2011,296322,,,,,
01/04/2011,283219,,,,,
01/05/2011,305251,,,,,
01/06/2011,296050,,,,,
01/07/2011,308798,,,,,
01/08/2011,326213,,,,,
01/09/2011,261130,,,,,
01/10/2011,270949,,,,,
01/11/2011,273358,,,,,
01/12/2011,261245,,,,,
01/01/2012,210604,,,,,
01/02/2012,219068,,,,,
01/03/2012,313178,,,,,
01/04/2012,266275,,,,,
01/05/2012,286215,,,,,
01/06/2012,277722,,,,,
01/07/2012,301142,,,,,
01/08/2012,333192,,,,,
01/09/2012,288049,,,,,
