indice_tiempo,petroleo_crudo_procesado,produccion_gasoil,produccion_fuel_oil,produccion_butano
1996-01-01,2131.623,826.125,182.922,45.282
1996-02-01,1958.236,847.935,146.003,41.234
1996-03-01,2193.624,821.815,166.008,55.994
1996-04-01,2127.846,798.993,148.237,45.742
1996-05-01,2224.31,905.344,166.291,76.306
1996-06-01,2273.388,970.29,201.1,61.958
1996-07-01,2459.279,980.345,273.277,78.045
1996-08-01,2417.784,925.338,215.631,78.252
1996-09-01,2271.987,1051.189,182.28,52.931
1996-10-01,2271.608,934.135,212.891,44.448
1996-11-01,2163.187,846.063,131.293,34.689
1996-12-01,2206.129,866.581,145.342,43.905
1997-01-01,2367.792,1015.28,160.661,48.87
1997-02-01,2252.286,903.165,150.109,44.821
1997-03-01,2493.765,985.407,129.936,50.106
1997-04-01,2380.571,918.336,242.156,44.156
1997-05-01,2458.105,1100.106,191.819,52.873
1997-06-01,2338.351,865.489,174.173,59.343
1997-07-01,2507.651,1058.79,163.166,57.387
1997-08-01,2536.612,908.819,180.65,57.242
1997-09-01,2496.095,1072.831,133.383,69.076
1997-10-01,2567.63,991.559,152.918,52.574
1997-11-01,2407.379,1096.362,149.548,69.967
1997-12-01,2492.361,1138.57,135.359,58.23
1998-01-01,2367.146,1078.548,160.664,63.173
1998-02-01,2359.11,906.228,137.622,68.922
1998-03-01,2673.631,1141.262,170.791,61.478
1998-04-01,2580.358,985.693,160.402,62.065
1998-05-01,2661.506,1114.113,154.958,79.052
1998-06-01,2518.652,924.026,170.993,56.679
1998-07-01,2601.782,1069.911,156.053,60.971
1998-08-01,2429.618,957.061,184.049,52.173
1998-09-01,2463.598,981.175,174.268,67.591
1998-10-01,2718.526,1027.272,142.053,66.284
1998-11-01,2553.936,1081.632,131.122,70.735
1998-12-01,2677.323,1065.307,205.869,79.427
1999-01-01,2774.293,860.33,55.948,66.088
1999-02-01,2297.795,688.299,39.598,60.502
1999-03-01,2651.131,794.537,51.536,63.258
1999-04-01,2637.89,935.612,89.612,78.521
1999-05-01,2623.333,925.446,87.16,66.489
1999-06-01,2485.529,805.944,129.291,69.932
1999-07-01,2674.3,990.756,195.695,89.957
1999-08-01,2715.031,1124.08,158.161,77.44
1999-09-01,2551.578,858.176,84.182,60.388
1999-10-01,2627.587,811.664,87.931,51.797
1999-11-01,2624.925,991.905,108.363,68.777
